text,label
it feels like she breaks the wall for so free,non-offensive
the day my lungs gonna collapse 😭😭,offensive
Not news should of spoken to regional ICU nurses. Duct tape and head scratching in the old ICUs,non-offensive
nothing really happened qisnaoakq it's just the one where haechan took a pic with the same op again in this fansign🤧,non-offensive
if they don’t perform i swear to god i will literally fly there and make them,non-offensive
no lol ion even know what that big ass word mean lmao,offensive
Happy ca day 🌸,non-offensive
I HATE WHEN TEACHERS GET MAD AT THAT Sometimes people need clarification man. Teachers can be so mean,offensive
you calling me pissbaby summoned me here ihy,offensive
keep my name out of your mouth 😒,offensive
i blame YOU,non-offensive
Do you even know what a proper midfielder is? Plz go to sleep.,non-offensive
And that's the mentality we're up against. Jaw dropping stupidity,offensive
"wish me luck! #ShopeexTreasure #AdaTreasurediShopee #ShopeeTreasureTeume

1468",non-offensive
"Film out, your eyes tell, Light, stay gold, crystal snow, don’t leave me, let go, bnyk sihh",non-offensive
im just neww its @user,non-offensive
The cop who shot her had a legitimate cause to defend corrupt politicians from outraged citizens. The D muscle agent provocateur  who incited her to charge the cops and get shot committed murder. The D prosecutors who released the D muscle are felon prosecutors.,offensive
YOU BETTER SUCK HIS DICK KOZY I SEE YOU WITH KNUCKLES GET EM GYAAAAL,offensive
u blush when u talk to me stop denying it,non-offensive
pain😔,non-offensive
"have a nice day guys.I wish you the best of everything! Thank you very much. Best innovative work ever.Good luck and all the best.This is a wonderful opportunity🤟🥳🚀

@user
@user
@user
@user
@user
@user
#Airdrop #Solana #KIN",non-offensive
Fb+rt tysm,non-offensive
Wtb ticket bubble Stray kids,non-offensive
"If the dick makes me cry, like in a good way, stay away from me satan.",offensive
Thank you🤧❤️,non-offensive
"Good morning Molly, it is a lovely looking day outside, my chores that I hope to get done around the house include:strimming, painting and spraying the weeds (I'm going to try &amp; get Weeguy to give me a hand). Do you have any plans  Have a blessed day sister ❤️🙏🏻🙏🏻🙏🏻❤️🥰",non-offensive
Thank u raa,non-offensive
pusing,non-offensive
OMG TY U R TOO UR PINNED IS SICK ASF 🔥:D,offensive
Teeth,offensive
Do you even support Liverpool?,non-offensive
noah was just an employee/spy of davianna's family then,non-offensive
Nigga said Da Baby look like a PT Cruiser No fucking way😭😭😭😭😭😭,offensive
Amen 🙏,non-offensive
He found that video of you!,non-offensive
lanjiao lockdown so long d cases now still fucking high,offensive
Ouch,non-offensive
"They're in Scotland, think only 30 invited so they all know everything about each other",non-offensive
….you’re fuking lying no way,offensive
I just opened my fridge 3 times thinkin somethin new was gunna pop up smh still ain’t no food in that hoe lmao,offensive
"So... the new normal is the new shit? 

*picked that new normal thing up from the media, of course",offensive
You should raise the webform....how would they know then that you completed ur medicals,non-offensive
He rather have used the cash to buy some clothes that dont resemble a duvet.,non-offensive
Come one come all into 6988,non-offensive
"Make up, dress up, like a princess 
for him slapping, crawl over his groin, all reminds you of being just his whore.
I love that feeling, and where I belong to",offensive
"⠀⠀⠀""Tell me then, YOU BROKEDICK SON OF A BITCH!!! HOW IMPORTANT ARE YOU TO MY LOVER THAT YOU HAVE A RIGHT TO TELL HER ANYTHING YOU SAID?!""",offensive
This is a man thing? I keep finding out I'm a man lately 😂,non-offensive
